ZIP_CODE,STATE_NAME,PARENT_NAME,PARENT_ID,PAYER_NAME,PAYER_ID,OVERALL,COMMERCIAL,COMMERCIAL_FI,FI_HMO,FI_PPO,FI_POS,FI_INDEMNITY,PUBLIC_HIX_INDIVIDUAL,PUBLIC_HIX_SHOP,FI_CDHP,COMMERCIAL_SI,SI_HMO,SI_PPO,SI_POS,SI_INDEMNITY,SI_CDHP,MEDICARE_ADVANTAGE_PART_C,PAYER_MANAGED_MEDICAID,MGD_MEDICAID_TITLE_19,MGD_MEDICAID_TITLE_21_CHIP,MGD_MEDICAID_SPECIALTY_PROGRAMS,MANAGED_MEDICAID_DUAL_ELIGIBLE,TRICARE,CREATED_AT
24639,Virginia,Molina Healthcare,1142,,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,0,0,75,16,0,2026-03-02 08:27:02.243 -0500
99173,Washington,Molina Healthcare,1142,,,344,15,15,0,0,0,0,15,0,0,0,0,0,0,0,0,14,315,306,9,0,0,0,2026-03-02 08:27:02.243 -0500
29128,South Carolina,Molina Healthcare,1142,,,22,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0,2,14,0,0,0,1,0,2026-03-02 08:27:02.243 -0500
01830,Massachusetts,MVP Health Care,1146,,,3,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
29832,South Carolina,Molina Healthcare,1142,,,35,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
05442,Vermont,MVP Health Care,1146,,,13,13,10,4,0,0,0,6,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
32812,Florida,Molina Healthcare,1142,,,399,398,398,0,0,0,0,398,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
06013,Connecticut,MVP Health Care,1146,,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
33330,Florida,Molina Healthcare,1142,,,154,154,154,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
07087,New Jersey,MVP Health Care,1146,,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
33547,Florida,Molina Healthcare,1142,,,220,219,219,0,0,0,0,219,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
10510,New York,MVP Health Care,1146,,,836,201,34,11,6,0,0,17,0,8,167,38,129,0,0,0,37,598,386,82,130,0,0,2026-03-02 08:27:02.243 -0500
33980,Florida,Molina Healthcare,1142,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2026-03-02 08:27:02.243 -0500
12077,New York,MVP Health Care,1146,,,509,330,275,140,123,0,0,12,0,66,55,13,42,0,0,0,58,121,77,13,31,0,0,2026-03-02 08:27:02.243 -0500
37660,Tennessee,Molina Healthcare,1142,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
38858,Mississippi,Molina Healthcare,1142,,,65,26,26,0,0,0,0,26,0,0,0,0,0,0,0,0,0,39,32,7,0,0,0,2026-03-02 08:27:02.243 -0500
12738,New York,MVP Health Care,1146,,,11,3,2,1,1,0,0,0,0,1,1,0,1,0,0,0,4,4,3,1,0,0,0,2026-03-02 08:27:02.243 -0500
39059,Mississippi,Molina Healthcare,1142,,,744,224,224,0,0,0,0,224,0,0,0,0,0,0,0,0,0,520,432,88,0,0,0,2026-03-02 08:27:02.243 -0500
39402,Mississippi,Molina Healthcare,1142,,,1536,373,373,0,0,0,0,373,0,0,0,0,0,0,0,0,0,1163,967,196,0,0,0,2026-03-02 08:27:02.243 -0500
39641,Mississippi,Molina Healthcare,1142,,,30,12,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,18,15,3,0,0,0,2026-03-02 08:27:02.243 -0500
13073,New York,MVP Health Care,1146,,,261,251,7,1,2,0,0,4,0,2,244,56,188,0,0,0,10,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
40356,Kentucky,Molina Healthcare,1142,,,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2026-03-02 08:27:02.243 -0500
13661,New York,MVP Health Care,1146,,,5,5,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
41132,Kentucky,Molina Healthcare,1142,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
14208,New York,MVP Health Care,1146,,,115,114,0,0,0,0,0,0,0,0,114,26,88,0,0,0,1,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
42021,Kentucky,Molina Healthcare,1142,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,2,0,2,0,2026-03-02 08:27:02.243 -0500
14608,New York,MVP Health Care,1146,,,1097,549,342,135,180,0,0,27,0,81,207,48,159,0,0,0,63,485,343,42,99,0,0,2026-03-02 08:27:02.243 -0500
42368,Kentucky,Molina Healthcare,1142,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,0,1,0,2026-03-02 08:27:02.243 -0500
18109,Pennsylvania,MVP Health Care,1146,,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
43150,Ohio,Molina Healthcare,1142,,,57,12,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,2026-03-02 08:27:02.243 -0500
22033,Virginia,MVP Health Care,1146,,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
43755,Ohio,Molina Healthcare,1142,,,158,82,82,0,0,0,0,82,0,0,0,0,0,0,0,0,1,75,75,0,0,0,0,2026-03-02 08:27:02.243 -0500
29715,South Carolina,MVP Health Care,1146,,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
43962,Ohio,Molina Healthcare,1142,,,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2026-03-02 08:27:02.243 -0500
32164,Florida,MVP Health Care,1146,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
12432,New York,MVP Health Care,1146,,,104,34,23,5,16,0,0,2,0,6,11,3,8,0,0,0,11,59,40,6,13,0,0,2026-03-02 08:27:02.243 -0500
33032,Florida,MVP Health Care,1146,,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
